ID,QUESTION,ANSWER,MARKS,CRITERIA,Model1_GA,Model2_GA,Model1a_GA,Model2a_GA
1,Define the term adaptation,"Adaptation are the inherited favourable characteristics of an offspring from its parent(s). These characteristics may be physical (Structural), physiological or behavioural. ",1,1 mark = correctly definition of adaptation,"The term ""adaptation"" refers to a change or adjustment made by an organism, system, or process in response to its environment, often resulting in improved survival and success. This can involve physical, behavioral, or physiological modifications that enable the entity to better cope with changing conditions, such as temperature, humidity, or social pressures. Adaptations can be inherited or acquired through experience and learning.","Adaptation refers to the process by which an organism or a system changes its behavior, physiology, or structure in response to environmental factors such as temperature, light, or chemicals, allowing it to better survive and thrive in its surroundings. This can involve changes in growth patterns, metabolic rates, or even the development of new traits. Adaptation is a key mechanism by which living organisms have evolved to occupy specific ecological niches and exploit available resources. It enables individuals and populations to adapt to changing conditions and increase their chances of survival and reproduction.","An adaptation is a characteristic that an organism has inherited and makes it suited for its environment. It is a result of change that arises via mutation, when a cell divides and replicates during the process of reproduction. Adaptations can be structural, behavioral, or physiological in nature, and they increase an organism's chance of survival in its environment.","Adaptations are characteristics that help organisms survive and thrive in their environment. They can be classified into three types: structural (physical features), behavioral (actions), and physiological (internal or cellular processes). Adaptations enable organisms to regulate their body temperature, reduce water loss, and increase their chances of survival in various settings or changes within their current environment."
2,Distinguish between sexual reproduction and asexual reproduction,"Sexual reproduction, such as meiosis, is the process of forming a new organism from the fusion of the offspring's parent's gametes. Comparatively, asexual reproduction, such as mitosis, is the process of producing an offspring from just one parent through cell division or mitosis. 

The offspring as a result of sexual reproduction does not have genetic material that is identical to its parents. The offspring from asexual reproduction is a clone of its parent, meaning it has the same allele combinations as its parent.",4,"1 mark = Define sexual reproduction

1 mark = Define asexual reproduction

1 marks = A factor that distinguish between asexual and sexual reproduction (genetic variation, number of parents, mitosis vs meiosis, performed using germ cell verses somatic cell, etc)

1 mark = Provide an example of sexual and asexual reproduction.","Sexual reproduction involves the combination of genetic material from two parents to produce offspring with unique characteristics, whereas asexual reproduction involves the production of offspring that are genetically identical to the parent through methods such as budding or binary fission. Sexual reproduction requires two individuals, while asexual reproduction can occur in one individual. This results in greater genetic diversity in sexually reproduced offspring compared to asexually reproduced offspring. Asexual reproduction is often faster and more efficient than sexual reproduction.","Sexual reproduction involves the combination of genetic material from two parents to produce offspring with unique characteristics, whereas asexual reproduction involves the production of offspring without the involvement of gametes (sex cells) from another individual. In asexual reproduction, an organism can produce offspring that are genetically identical to itself through processes such as binary fission or budding. This is in contrast to sexual reproduction, where genetic variation is introduced through the mixing of genetic material during fertilization. Asexual reproduction is often seen in single-celled organisms and some multicellular organisms, while sexual reproduction is more commonly found in complex life forms like plants and animals.","Reproduction ensures the continuity of a species through two main methods: sexual reproduction, which involves combining genetic information from two individuals to produce offspring with unique characteristics; and asexual reproduction, where offspring arise from a single organism, inheriting its genes. Asexual reproduction is faster and requires less energy but can lead to large-scale extinction and limited adaptation to selection pressure. In contrast, sexual reproduction increases genetic diversity and allows species to adapt to changing environments.","Reproduction ensures the continuity of a species by allowing for the rapid growth and establishment of new individuals. Asexual reproduction, such as budding or binary fission, can produce offspring that are genetically identical to the parent, while sexual reproduction involves the fusion of gametes from two different sexes, resulting in genetic diversity. This difference highlights the importance of both types of reproduction in maintaining species continuity."
3,What is the difference between a somatic cell and a gamete? Give an example of each.,"Somatic cells are all the diploid cells in the body of an organism, apart from the sex cells (gametes). Examples of somatic cells include skin cells, muscle cells and nerve cells. Gametes are the haploid sex cells (egg/ovum and sperm cells) that combine in sexual reproduction. They are produced from germ cells by meiosis.",3,"1 mark = Explains the difference between gametes and somatic cells

1 mark = Gave an example of a somatic cell

1 mark = Gave an example of a gamete","A somatic cell is any cell in the body that is not a reproductive cell, such as skin cells or muscle cells. Gametes, on the other hand, are specialized reproductive cells, including sperm and egg cells. Somatic cells have 46 chromosomes, while gametes have 23 chromosomes. For example, a skin cell (somatic) and an egg cell (gamete) are two different types of cells with distinct functions and characteristics.","A somatic cell, also known as a body cell or non-reproductive cell, is any type of cell that is not involved in reproduction. In contrast, a gamete is a cell that is involved in the production of offspring through reproduction. Gametes are typically produced by reproductive cells such as sperm and eggs (oocytes). For example, a somatic cell might be a skin cell or a muscle cell, while an egg cell (a type of gamete) would be a female oocyte.

Here's another example: A somatic cell in the human body is a red blood cell, which carries oxygen throughout the body. In contrast, an egg cell (gamete) is the female reproductive cell that contains the genetic material necessary for the development of a new individual.","A somatic cell is a body cell that contains two copies of each chromosome, whereas a gamete (such as a sperm or egg cell) is a reproductive cell that contains half the genetic material of the organism. An example of a somatic cell is a skin cell, which has 46 chromosomes in humans. An example of a gamete is a human sperm or ovum, which has 23 chromosomes.","A somatic cell is a type of body cell that makes up most of the non-reproductive cells in the body, such as skin, muscle, and bone tissue. On the other hand, a gamete (sex cell) is a reproductive cell that contains half the genetic material of an organism, such as sperm or egg cells.

An example of a somatic cell is human skin cells, which are all diploid (46 chromosomes) and contain two copies of each chromosome. An example of a gamete is a sperm cell from a male human, which has 23 chromosomes and contains one copy of each pair of chromosomes.

In contrast, an egg cell (ovum) from a female human has 23 chromosomes and contains only one copy of each pair of chromosomes."
4,Where would you find a follicle and what is its function?,"A follicle is a group of cells in the ovary that surround an oocyte as it matures. The follicle provides protection and nutrition to the egg, then ruptures to release the egg through the surface of the ovary for ovulation.",2,"1 mark = Gave the location of the follicle

1 mark = Defines the function of the follicle","A follicle is typically found in the skin or on the scalp, where it surrounds a hair shaft. Its primary function is to produce sebum, an oily substance that helps to moisturize and protect the surrounding skin and hair. The follicle also provides a protective environment for the hair growth cycle, allowing the hair to grow and eventually be shed.","A follicle is a small, usually rounded or oval structure found in various parts of the body, particularly in glands and organs. In the context of hair growth, a follicle refers to the tiny sac-like structure where hair roots reside. The primary function of a follicle is to produce and maintain hair, with each follicle containing multiple hair shafts that grow out from it. This process is essential for maintaining healthy and full-body hair growth.","Unfortunately, the provided documents do not mention follicles. However, based on general knowledge, a follicle is typically found in animals, specifically in the skin or ovaries, and it has a function related to hair growth or egg production. In plants, however, there is no equivalent structure called a follicle.","A follicle is not mentioned in the provided text. However, I can provide information on where to find a follicle.

In humans, a follicle is typically found in the ovaries, which are part of the female reproductive system. The ovaries contain several types of follicles, including:

* Graafian follicles: These are mature follicles that contain an egg and are released from the ovary during ovulation.
* Dominant follicles: These are larger follicles that have a higher concentration of estrogen and are more likely to release an egg during ovulation.

In plants, follicles are not typically found. However, some plant structures can be referred to as ""follicles"" due to their resemblance in shape or function. For example, the flower buds on a stem can be thought of as follicles, but they are actually modified leaves that contain seeds."
5,"Within a cell cycle, cell replication involves three phases. Identify and summarise the three phases.","The cell cycle involves three phases: interphase, mitosis and cytokinesis. Phase 1: Interphase involves the cell doubling its mass and duplicating all its components. DNA replication occurs during
interphase. Phase 2: Mitosis is a process of division of the cell nucleus. Phase 3: Cytokinesis is the division of the cytoplasm into two daughter cells.",3,"1 mark = Gives the first phase: interphase, and summaries it 

1 mark = Gives the second phase: Mitosis, and summarises it

1 mark = Gives the third phase: Cytokinesis, and summaries it","The three phases of cell replication within a cell cycle are Interphase, Mitosis, and Cytokinesis. 

Interphase is the longest phase where the cell grows, prepares for cell division, and replicates its DNA. 
Mitosis is the phase where the replicated DNA is divided equally between two daughter cells. 
Cytokinesis is the final phase where the cytoplasm of the parent cell divides to form two separate daughter cells.","The three phases of cell replication within a cell cycle are:

1. **Interphase**: This is the longest phase of the cell cycle, during which the cell grows, replicates its DNA, and prepares for cell division. It consists of three sub-stages: Gap 1 (G1), Synthesis (S), and Gap 2 (G2). During this phase, the cell increases in size and produces organelles.

2. **Prophase**: In prophase, the chromatin condenses into visible chromosomes, and the nuclear envelope breaks down. The mitotic spindle forms, and the centrioles align to create cilia or flagella if necessary.

3. **Metaphase**: During metaphase, the chromosomes line up at the center of the cell, attached to the mitotic spindle. This alignment is crucial for proper chromosome segregation during cell division.","The three phases of cell replication within a cell cycle are:

1. G1 phase (growth), where the cell grows by producing proteins and more organelles.
2. S phase (synthesis), where DNA replication occurs, resulting in each chromosome being made of two identical chromatids.
3. G2 phase (proofreading), where the cell checks for duplication errors and fixes mistakes before preparing for division.","Here's a summary of the three phases involved in cell replication within the cell cycle:

1. **G1 Phase**: The beginning of the cell cycle where cell growth occurs, all except chromosomes are replicated.
2. **S Phase (Synthesis)**: All 46 chromosomes are duplicated during this phase.
3. **G2 Phase (Proofreading)**: Cell checks for duplication errors and fixes mistakes before mitosis.

These three phases work together to ensure accurate DNA replication and cell division."
6,Recall the names of the two cell division processes and define their main features.,Mitosis produces identical new cells for growth and repair. Meiosis produces sex cells (gametes) for sexual reproduction with a different combination of alleles to the parent cell,4,"1 mark = Mentions mitosis 

1 mark = Mentions meiosis

1 mark = Mentions a feature of Mitosis

1 mark = Mentions a feature of Meiosis","The two cell division processes are Mitosis and Meiosis. Mitosis is a type of cell division that results in two genetically identical daughter cells, each with the same number of chromosomes as the parent cell. It is essential for growth, repair, and maintenance of tissues. Meiosis, on the other hand, is a specialized type of cell division that reduces the chromosome number by half, resulting in four non-identical daughter cells with unique combinations of genetic traits.","The two primary cell division processes are Mitosis and Meiosis. 

Mitosis is a type of interphase cell division that results in two genetically identical daughter cells from a single parent cell. It involves the replication of DNA, separation of chromosomes, and anaphase where sister chromatids separate to form individual chromosomes. This process occurs in somatic (body) cells and is essential for growth, repair, and maintenance of tissues.

Meiosis, on the other hand, is a specialized type of cell division that reduces the chromosome number by half, resulting in four non-identical daughter cells with half the number of chromosomes as the parent cell. It occurs in reproductive cells (sperm and egg cells) and is responsible for producing gametes (sperm and eggs). Meiosis involves two successive divisions: meiosis I and meiosis II, where homologous pairs of chromosomes separate and recombine during meiosis I, and then sister chromatids are separated during meiosis II.","The two cell division processes are mitosis and meiosis. Mitosis is a process that results in two identical daughter cells with an exact copy of the DNA structure in each nucleus. Meiosis, on the other hand, is not mentioned in the provided documents, but it's known to be a type of cell division that occurs in reproductive cells, resulting in four non-identical daughter cells with half the number of chromosomes as the parent cell.","Here's a concise response:

The two main cell division processes are mitosis and meiosis. Mitosis is characterized by the separation of chromosomes into identical daughter cells during four phases: prophase, metaphase, anaphase, and telophase. Meiosis, on the other hand, involves the reduction of chromosome number by half, resulting in four non-identical daughter cells.

In mitosis, DNA replication occurs before cell division, followed by the condensation of chromatin and the alignment of chromosomes in metaphase. The separation of chromosomes into identical daughter cells occurs during anaphase, while telophase follows, where the nucleus divides and cytoplasm splits."
7,Explain what is meant by a protein becoming 'denatured',"A protein is said to be denatured when the hydrogen bonds, hydrophobic interactions that create the tertiary structure of the protein are broken and the shape of the protein is altered.",2,"1 mark = Defines what 'denatured' means

1 mark = Identifies what happens to the protein","A protein becomes denatured when its native, three-dimensional structure is disrupted or unfolded, often due to changes in temperature, pH, or the presence of chemicals such as detergents. This can cause the protein's polypeptide chain to unwind and lose its functional conformation, leading to a loss of biological activity. Denaturation can be reversible under certain conditions, but it can also be irreversible, resulting in the permanent loss of protein function.","A protein becomes denatured when its native, three-dimensional structure is disrupted, causing it to lose its normal conformation and fold into an unfolded or misfolded state. This can occur due to various factors such as heat, chemicals, or physical stress, leading to a loss of function and often resulting in the protein's aggregation or precipitation. Denaturation can have significant effects on the protein's activity, stability, and interactions with other molecules. In some cases, denatured proteins may still retain some functional properties, but their overall behavior and performance are significantly altered.","A protein becomes ""denatured"" when its active site's shape has been deformed and can no longer bind to substrates, meaning it can no longer function or return to its original state. This can be caused by extremes of pH, temperature, or other factors that disrupt the protein's structure, leading to a loss of its biological activity. Denaturation is usually permanent and results in the protein becoming non-functional.","A protein becomes denatured when its active site's shape has been deformed and it can no longer bind to substrates, meaning it cannot function or return to its original state. This occurs due to extreme temperatures (above 37°C) or pH levels that cause the enzyme to lose its native structure and fold. As a result, individual amino acids in the protein start vibrating excessively, leading to breakage of hydrogen bonds and ultimately causing the protein to fragment."
8,What is the Law of Independent Assortment and what does it state?,"Mendel's second law of inheritance, the Law of Independent Assortment, states that the alleles of a gene controlling one trait assort independently of alleles of another gene controlling a different trait.",1,1 mark = States what Law of independent assortment is,"The Law of Independent Assortment states that genes for different traits are inherited independently of each other. This means that the alleles of one gene do not influence the alleles of another gene during the process of meiosis, resulting in a random combination of alleles from each parent. As a result, offspring can inherit any possible combination of alleles for two or more genes, regardless of their original parental combinations.","The Law of Independent Assortment states that in genetics, different genes are inherited independently of each other. This means that the order in which genes are inherited does not affect their effect on an individual's traits or characteristics. In other words, if one gene has a certain effect on a trait, it will be expressed regardless of the presence or absence of another gene with a different effect. The law helps explain how genetic traits are passed down from parents to offspring.","The Law of Independent Assortment states that chromosome pairs line up and separate independently of each other during metaphase I/anaphase I of meiosis. This means that the side a homologous chromosome ends up on during metaphase I is random, and they are then drawn apart in anaphase I.","The Law of Independent Assortment states that during meiosis I, homologous chromosomes separate independently of each other, resulting in a random distribution of alleles (chromosome variants) from the parent cells. This means that the alleles for different traits are shuffled together into gametes, creating new combinations and increasing genetic diversity."
9,Define 'genetic testing'.,"Genetic testing is a medical test used to detect specific alleles, mutations, genotypes or karyotypes that are associated with heritable traits, diseases or predispositions to diseases.",1,1 mark = defines 'Genetic testing',"Genetic testing is a medical test used to identify genetic variations that can cause or increase the risk of developing certain diseases or conditions. It involves analyzing an individual's DNA to detect specific genetic mutations or changes in their genes. This type of testing can be used for diagnostic, predictive, or carrier testing purposes.","Genetic testing is a medical procedure that analyzes an individual's DNA or genetic material to identify specific mutations, variations, or traits associated with a particular condition or disease. This information can be used to diagnose genetic disorders, predict the risk of developing certain conditions, and monitor the progression of existing diseases. Genetic testing can also be used to identify genetic markers that may contribute to an increased risk of developing certain health problems. By analyzing an individual's genetic material, healthcare professionals can provide personalized guidance and treatment options.","Genetic testing is the process of analyzing an individual's DNA to determine their genetic makeup, or genotype. This involves examining the specific order of nucleotides within a segment of DNA, such as through DNA sequencing or profiling. The goal of genetic testing is to identify genetic variations that may be associated with certain diseases or traits, and to understand how genes interact with environmental factors to influence phenotypic expression.","Genetic testing refers to the process of analyzing an individual's genetic makeup to identify specific traits or characteristics. This can be done through various methods such as DNA sequencing and profiling, which determine the precise order of nucleotides in a segment of DNA, and PCR isolation and amplification of DNA, which allows for the analysis of highly variable regions of an individual's genome. Genetic testing is used to diagnose genetic disorders, identify potential risks for certain diseases, and understand the dynamics of genes in a population. It can also be used to investigate inheritance patterns in a population by analyzing DNA sequencing and profiling data."
10,Explain why silent mutations are called 'silent'.,"Silent mutations are silent because they do not change the amino acid that they code for, and as such they have no functional change in terms of protein products.",2,"1 mark = Mentions silent mutations in the answer

1 mark = Mentions what silent mutation does
","Silent mutations occur when a change in DNA sequence does not result in a change to the amino acid sequence of a protein. This is because the genetic code is degenerate, meaning that more than one codon (sequence of three nucleotides) can code for the same amino acid. As a result, some mutations may not affect the final protein product and are therefore ""silent"".","Silent mutations, also known as non-synonymous mutations or point mutations, are called ""silent"" because they do not result in a change to the amino acid sequence of a protein. In other words, these mutations do not alter the primary structure of the protein, and therefore, the resulting protein is likely to have the same function as the original one. Silent mutations can still lead to changes in protein function or activity, but they do not cause a change in the protein's three-dimensional structure. As a result, silent mutations are often referred to as ""silent"" because they do not disrupt the normal functioning of the protein.","Silent mutations are called ""silent"" because they produce no change to the polypeptide encoded, despite being a point mutation in a coding region of the DNA. This is due to the genetic code being degenerate, meaning that more than one codon can code for the same amino acid. As a result, the altered base codon triplet still codes for the same amino acid, leading to no phenotypic change.","Silent mutations occur when a point mutation in a coding region of the DNA changes the amino acid encoded, but does not affect the phenotype of the organism. This is because the genetic code is degenerate, meaning that more than one codon can encode the same amino acid.

For example, sickle cell anemia is an example of a silent mutation where a point mutation in the HBB gene causes a change from glutamic acid to valine at position 6, resulting in the production of abnormal hemoglobin. This mutation does not cause any changes in the phenotype of the individual, despite being present in the DNA.

In contrast, missense mutations result in a change to the amino acid encoded by the mutated codon, leading to a different protein product and potentially a changed phenotype. Nonsense mutations, on the other hand, result in a premature stop codon, cutting off the protein production process altogether.

The term ""mutation"" is used to refer to any changes that occur in the sequence of bases within an organism. Germ-line mutations are those that occur in gametes (eggs or sperm) and can be inherited into the next generation, while somatic mutations occur in non-reproductive cells and do not pass on to future generations.

Silent mutations are called ""silent"" because they do not result in a change to the phenotype of the organism. Instead, they may affect gene expression or protein function, but these effects are typically subtle and not noticeable in the individual's life."
