ID,BS M1 Precision,BS M1 Recall,BS M1 F1,BS M2 Precision,BS M2 Recall,BS M2 F1,BS M1a Precision,BS M1a Recall,BS M1a F1,BS M2a Precision,BS M2a Recall,BS M2a F1
1,0.545,0.662,0.598,0.495,0.607,0.545,0.58,0.688,0.629,0.551,0.659,0.6
2,0.693,0.649,0.671,0.655,0.661,0.658,0.605,0.606,0.605,0.658,0.67,0.664
3,0.651,0.663,0.657,0.619,0.69,0.652,0.643,0.661,0.652,0.605,0.72,0.658
4,0.621,0.636,0.629,0.58,0.605,0.592,0.516,0.582,0.547,0.533,0.66,0.59
5,0.76,0.756,0.758,0.564,0.667,0.611,0.585,0.565,0.575,0.547,0.579,0.562
6,0.563,0.676,0.615,0.509,0.671,0.579,0.535,0.631,0.579,0.459,0.57,0.509
7,0.526,0.669,0.589,0.531,0.663,0.59,0.548,0.66,0.599,0.546,0.701,0.614
8,0.625,0.741,0.678,0.571,0.691,0.625,0.5,0.616,0.552,0.581,0.673,0.624
9,0.671,0.678,0.674,0.612,0.701,0.653,0.608,0.693,0.648,0.537,0.627,0.579
10,0.59,0.7,0.64,0.602,0.721,0.656,0.578,0.713,0.638,0.49,0.685,0.571
11,0.262,0.527,0.35,0.244,0.523,0.333,0.287,0.717,0.41,0.251,0.518,0.338
12,0.62,0.776,0.689,0.583,0.782,0.668,0.597,0.774,0.674,0.569,0.764,0.652
13,0.631,0.675,0.652,0.573,0.637,0.603,0.621,0.64,0.631,0.565,0.662,0.61
14,0.572,0.716,0.636,0.542,0.695,0.609,0.565,0.705,0.627,0.571,0.703,0.63
15,0.66,0.682,0.671,0.585,0.7,0.638,0.604,0.719,0.657,0.604,0.733,0.662
16,0.496,0.65,0.563,0.465,0.729,0.568,0.48,0.624,0.543,0.507,0.673,0.578
17,0.601,0.72,0.655,0.636,0.746,0.687,0.608,0.601,0.605,0.578,0.698,0.633
18,0.606,0.62,0.613,0.629,0.624,0.626,0.759,0.632,0.69,0.595,0.623,0.609
19,0.561,0.611,0.585,0.574,0.488,0.528,0.575,0.595,0.585,0.55,0.591,0.57
20,0.648,0.72,0.682,0.63,0.684,0.656,0.652,0.728,0.688,0.589,0.676,0.629
21,0.577,0.62,0.598,0.558,0.603,0.579,0.569,0.575,0.572,0.585,0.593,0.589
22,0.594,0.666,0.628,0.607,0.662,0.633,0.681,0.73,0.705,0.621,0.685,0.651
23,0.725,0.8,0.761,0.637,0.783,0.703,0.668,0.705,0.686,0.629,0.714,0.669
24,0.537,0.7,0.608,0.599,0.742,0.663,0.549,0.754,0.635,0.556,0.754,0.64
25,0.495,0.503,0.499,0.442,0.463,0.452,0.488,0.518,0.502,0.493,0.548,0.519
26,0.503,0.714,0.59,0.524,0.752,0.618,0.558,0.809,0.66,0.507,0.773,0.612
27,0.545,0.62,0.58,0.548,0.601,0.574,0.561,0.586,0.573,0.529,0.631,0.575
28,0.596,0.748,0.663,0.583,0.779,0.667,0.646,0.727,0.684,0.639,0.72,0.677
29,0.571,0.634,0.601,0.628,0.683,0.655,0.621,0.725,0.669,0.641,0.741,0.688
30,0.526,0.748,0.618,0.474,0.706,0.567,0.649,0.736,0.69,0.649,0.736,0.69
