ID ,QUESTION,ANSWER,MARKS,CRITERIA
1,Define the term adaptation,"Adaptation are the inherited favourable characteristics of an offspring from its parent(s). These characteristics may be physical (Structural), physiological or behavioural. ",1,1 mark = correctly definition of adaptation
2,Distinguish between sexual reproduction and asexual reproduction,"Sexual reproduction, such as meiosis, is the process of forming a new organism from the fusion of the offspring's parent's gametes. Comparatively, asexual reproduction, such as mitosis, is the process of producing an offspring from just one parent through cell division or mitosis. 

The offspring as a result of sexual reproduction does not have genetic material that is identical to its parents. The offspring from asexual reproduction is a clone of its parent, meaning it has the same allele combinations as its parent.",4,"1 mark = Define sexual reproduction

1 mark = Define asexual reproduction

1 marks = A factor that distinguish between asexual and sexual reproduction (genetic variation, number of parents, mitosis vs meiosis, performed using germ cell verses somatic cell, etc)

1 mark = Provide an example of sexual and asexual reproduction."
3,What is the difference between a somatic cell and a gamete? Give an example of each.,"Somatic cells are all the diploid cells in the body of an organism, apart from the sex cells (gametes). Examples of somatic cells include skin cells, muscle cells and nerve cells. Gametes are the haploid sex cells (egg/ovum and sperm cells) that combine in sexual reproduction. They are produced from germ cells by meiosis.",3,"1 mark = Explains the difference between gametes and somatic cells

1 mark = Gave an example of a somatic cell

1 mark = Gave an example of a gamete"
4,Where would you find a follicle and what is its function?,"A follicle is a group of cells in the ovary that surround an oocyte as it matures. The follicle provides protection and nutrition to the egg, then ruptures to release the egg through the surface of the ovary for ovulation.",2,"1 mark = Gave the location of the follicle

1 mark = Defines the function of the follicle"
5,"Within a cell cycle, cell replication involves three phases. Identify and summarise the three phases.","The cell cycle involves three phases: interphase, mitosis and cytokinesis. Phase 1: Interphase involves the cell doubling its mass and duplicating all its components. DNA replication occurs during
interphase. Phase 2: Mitosis is a process of division of the cell nucleus. Phase 3: Cytokinesis is the division of the cytoplasm into two daughter cells.",3,"1 mark = Gives the first phase: interphase, and summaries it 

1 mark = Gives the second phase: Mitosis, and summarises it

1 mark = Gives the third phase: Cytokinesis, and summaries it"
6,Recall the names of the two cell division processes and define their main features.,Mitosis produces identical new cells for growth and repair. Meiosis produces sex cells (gametes) for sexual reproduction with a different combination of alleles to the parent cell,4,"1 mark = Mentions mitosis 

1 mark = Mentions meiosis

1 mark = Mentions a feature of Mitosis

1 mark = Mentions a feature of Meiosis"
7,Explain what is meant by a protein becoming 'denatured',"A protein is said to be denatured when the hydrogen bonds, hydrophobic interactions that create the tertiary structure of the protein are broken and the shape of the protein is altered.",2,"1 mark = Defines what 'denatured' means

1 mark = Identifies what happens to the protein"
8,What is the Law of Independent Assortment and what does it state?,"Mendel's second law of inheritance, the Law of Independent Assortment, states that the alleles of a gene controlling one trait assort independently of alleles of another gene controlling a different trait.",1,1 mark = States what Law of independent assortment is
9,Define 'genetic testing'.,"Genetic testing is a medical test used to detect specific alleles, mutations, genotypes or karyotypes that are associated with heritable traits, diseases or predispositions to diseases.",1,1 mark = defines 'Genetic testing'
10,Explain why silent mutations are called 'silent'.,"Silent mutations are silent because they do not change the amino acid that they code for, and as such they have no functional change in terms of protein products.",2,"1 mark = Mentions silent mutations in the answer

1 mark = Mentions what silent mutation does
"
11,"Is the following statement true or false?
Mutations to non-coding regions of ONA will not have an effect on the organism.",False.,1,1 mark = Correctly answers False
12,Define the term 'biotechnology'.,"Biotechnology is an interdisciplinary technology, which uses biological processes and organisms to create new products and develop new technologies.",1,1 mark = Defines 'biotechnology' correctly
13,Define the term 'selective breeding' and provide an example of its application in ancient times.,"Selective breeding is a process where the animals or plants that express desired characteristics are bred together to produce offspring that will also show these characteristics. Examples will vary but may include horses, which have been bred for different uses such as ploughing, racing and dressage.",2,"1 mark = Defines 'selective breeding' correctly

1 mark = Includes an correct example"
14,Differentiate between in situ and ex situ conservation methods.,"In situ practices maintain the organism in its natural environment, whereas ex situ methods conserve organisms outside of their natural environment (e.g. in zoos).",2,"1 mark = Explains what 'in situ' means

1 mark = Explains what 'ex situ' means
"
15,How does artificial insemination differ from in vitro fertilisation (IVF)?,Artificial insemination involves the delivery of semen directly into the female reproductive system. Whereas IVF removes the egg from the female and fertilises it with the sperm in a laboratory setting prior to returning the fertilised egg back into the female uterus.,2,"1 mark = Explains what 'artificial insemenation' is

1 mark = Explains what 'in vitro fertilisation' is"
16,What is meant by the term 'virulence' ?,The ability of a pathogen to cause disease. How much it affects the host organism.,1,1 mark = Correctly identifies what 'virulence' is
17,What are Koch's four postulates?,"1. The microorganism must be present in the tissues of the infected organism and not in a healthy organism. 2. The microorganism must be able to be cultivated in isolation from the infected organism. 3. When an uninfected organism is then inoculated with the culture, it should develop symptoms of the disease. 4. Samples from the second infected organism should be able to be isolated and found to be the same as the microorganism from the first infected organism.",4,"1 mark = names a postulate

1 mark = names a postulate

1 mark = names a postulate

1 mark = names a postulate"
