ID,M1 Meteor Score,M2 Meteor Score,M1a Meteor Score,M2a Meteor Score
1,0.159,0.124,0.202,0.143
2,0.231,0.28,0.186,0.235
3,0.27,0.283,0.188,0.365
4,0.296,0.195,0.147,0.272
5,0.386,0.214,0.232,0.264
6,0.247,0.252,0.249,0.133
7,0.255,0.203,0.257,0.314
8,0.408,0.427,0.307,0.323
9,0.418,0.347,0.334,0.187
10,0.262,0.436,0.271,0.245
11,0.082,0.063,0.096,0.081
12,0.261,0.276,0.357,0.287
13,0.39,0.254,0.264,0.271
14,0.293,0.343,0.363,0.392
15,0.248,0.27,0.238,0.272
16,0.233,0.41,0.243,0.367
17,0.349,0.362,0.206,0.271
18,0.351,0.361,0.425,0.428
19,0.187,0.031,0.192,0.134
20,0.292,0.267,0.247,0.224
21,0.136,0.171,0.121,0.171
22,0.196,0.269,0.263,0.279
23,0.403,0.408,0.374,0.371
24,0.336,0.411,0.408,0.348
25,0.081,0.02,0.068,0.042
26,0.338,0.366,0.365,0.286
27,0.178,0.196,0.226,0.213
28,0.425,0.376,0.348,0.304
29,0.278,0.293,0.315,0.332
30,0.246,0.121,0.184,0.184
